Tahun,Bulan,Kode Kepesertaan,Nama Bank,Deskripsi,Jumlah Nasabah Penyimpan,Jumlah Rekening Simpanan,Jumlah Saldo Simpanan,Jumlah Saldo Simpanan Dijamin,Uninsured,Insured,Check
2024,10,10300026,097,A.1.1 0 <= Nominal <= 50 Juta,63066,71158,251776761084,0,,,
2024,10,10300026,097,A.1.6 1 Miliar < Nominal <= 2 Miliar,5688,29323,7505536792568,0,,,
2024,10,10300026,097,A.1.5 500 Juta < Nominal <= 1 Miliar,7667,30913,5057749039510,0,,,
2024,10,10300026,097,A.2.1 0 <= Nominal <= 50 Juta,549,568,2069924954,0,,,
2024,10,10300026,097,A.1.7 2 Miliar < Nominal <= 5 Miliar,4812,29583,14183938877631,0,,,
2024,10,10300026,097,A.1 Nasabah Perorangan - “ Non UMKM,99373,244988,90232270806810,0,,,
2024,10,10300026,097,A.1.3 100 Juta < Nominal <= 200 Juta,4908,13749,653308107068,0,,,
2024,10,10300026,097,Grand Total A,105457,260304,127693196996162,0,,,
2024,10,10300026,097,A.3.2 50 Juta < Nominal <= 100 Juta,4,4,283462317,0,,,
2024,10,10300026,097,A.4.2 50 Juta < Nominal <= 100 Juta,192,217,13586955359,0,,,
2024,10,10300026,097,A.2.5 500 Juta < Nominal <= 1 Miliar,12,49,8250256929,0,,,
2024,10,10300026,097,A.2.6 1 Miliar < Nominal <= 2 Miliar,14,44,17440706918,0,,,
2024,10,10300026,097,A.2 Nasabah Perorangan - UMKM,611,948,250810734952,0,,,
2024,10,10300026,097,A.1.8 Nominal > 5 Miliar,3158,40469,60422347276172,0,,,
2024,10,10300026,097,A.1.4 200 Juta < Nominal <= 500 Juta,6122,22594,1898840402949,0,,,
2024,10,10300026,097,A.1.2 50 Juta < Nominal <= 100 Juta,3952,7199,258773549828,0,,,
2024,10,10300026,097,A.3.5 500 Juta < Nominal <= 1 Miliar,28,40,26158670097,0,,,
2024,10,10300026,097,B.1.1 Nominal <= Batasan Nilai Simpanan yang Dijamin,71996,85282,2478957495260,2478957495260,,,
2024,10,10300026,097,A.3.4 200 Juta < Nominal <= 500 Juta,13,15,6031723158,0,,,
2024,10,10300026,097,A.3.6 1 Miliar < Nominal <= 2 Miliar,54,104,89698438208,0,,,
2024,10,10300026,097,A.2.3 100 Juta < Nominal <= 200 Juta,6,19,937229798,0,,,
2024,10,10300026,097,A.2.8 Nominal > 5 Miliar,10,192,196672335586,0,,,
2024,10,10300026,097,A.2.4 200 Juta < Nominal <= 500 Juta,6,24,1601212625,0,,,
2024,10,10300026,097,A.2.2 50 Juta < Nominal <= 100 Juta,7,10,481350589,0,,,
2024,10,10300026,097,A.3.7 2 Miliar < Nominal <= 5 Miliar,49,155,154562050268,0,,,
2024,10,10300026,097,B.2.2 Kolektibilitas Kredit Macet / Hapus Buku,428,443,4496710179,0,,,
2024,10,10300026,097,A.4.4 200 Juta < Nominal <= 500 Juta,315,440,107674665908,0,,,
2024,10,10300026,097,A.4 Nasabah Badan Hukum - “ Non Bank -“  Non UMKM,5215,13702,35231869691829,0,,,
2024,10,10300026,097,A.2.7 2 Miliar < Nominal <= 5 Miliar,7,42,23357717553,0,,,
2024,10,10300026,097,A.3.3 100 Juta < Nominal <= 200 Juta,7,7,1115205325,0,,,
2024,10,10300026,097,A.3.1 0 <= Nominal <= 50 Juta,19,20,314589869,0,,,
2024,10,10300026,097,A.4.3 100 Juta < Nominal <= 200 Juta,208,254,29501045033,0,,,
2024,10,10300026,097,A.5.2 50 Juta < Nominal <= 100 Juta,2,2,169059258,0,,,
2024,10,10300026,097,A.4.6 1 Miliar < Nominal <= 2 Miliar,496,1114,741448811089,0,,,
2024,10,10300026,097,A.5 Nasabah Badan Hukum -“ Non Bank -“ UMKM,39,61,47647225224,0,,,
2024,10,10300026,097,A.5.1 0 <= Nominal <= 50 Juta,25,28,128856881,0,,,
2024,10,10300026,097,A.3 Nasabah Badan Hukum -“ Bank Lain,219,605,1930598537347,0,,,
2024,10,10300026,097,A.4.7 2 Miliar < Nominal <= 5 Miliar,681,2155,2189436945314,0,,,
2024,10,10300026,097,A.4.1 0 <= Nominal <= 50 Juta,1896,2006,16870889318,0,,,
2024,10,10300026,097,A.4.5 500 Juta < Nominal <= 1 Miliar,372,625,281955374869,0,,,
2024,10,10300026,097,A.3.8 Nominal > 5 Miliar,45,260,1652434398105,0,,,
2024,10,10300026,097,A.5.4 200 Juta < Nominal <= 500 Juta,1,1,500000000,0,,,
2024,10,10300026,097,A.5.7 2 Miliar < Nominal <= 5 Miliar,1,3,2200000000,0,,,
2024,10,10300026,097,B.1.2 Nominal > Batasan Nilai Simpanan yang Dijamin,342,1072,2328558645926,684000000000,,,
2024,10,10300026,097,A.4.8 Nominal > 5 Miliar,1055,6891,31851395004939,0,,,
2024,10,10300026,097,B.1 Kategori 1,72338,86354,4807516141186,3162957495260,,,
2024,10,10300026,097,A.5.3 100 Juta < Nominal <= 200 Juta,4,4,538790149,0,,,
2024,10,10300026,097,A.5.6 1 Miliar < Nominal <= 2 Miliar,1,2,1489863908,0,,,
2024,10,10300026,097,A.5.5 500 Juta < Nominal <= 1 Miliar,1,2,520453925,0,,,
2024,10,10300026,097,B.2 Kategori 2,3025,8238,22907942666236,0,,,
2024,10,10300026,097,B.2.3 Terindikasi melakukan atau diputuskan pengadilan melakukan tindakan perbuatan melanggar hukum yang membahayakan kelangsungan usaha bank atau merugikan bank (fraud),0,0,0,0,,,
2024,10,10300026,097,B. 3 Kategori 3,30094,165712,99977738188740,2806990354907,,,
2024,10,10300026,097,A.5.8 Nominal > 5 Miliar,4,19,42100201103,0,,,
2024,10,10300026,097,B.2.1 Tingkat Bunga Simpanan > Tingkat Bunga Penjaminan,2597,7795,22903445956057,0,,,
2024,11,10300026,097,A.1 Nasabah Perorangan -“ Non UMKM,99494,244308,90123733259632,0,,,
2024,11,10300026,097,A.1.1 0 <= Nominal <= 50 Juta,63276,71401,255929763690,0,,,
2024,11,10300026,097,A.1.2 50 Juta < Nominal <= 100 Juta,3934,7148,257119797981,0,,,
2024,11,10300026,097,A.1.3 100 Juta < Nominal <= 200 Juta,4948,13796,656284056962,0,,,
2024,11,10300026,097,A.1.4 200 Juta < Nominal <= 500 Juta,6114,22721,1901462832861,0,,,
2024,11,10300026,097,A.1.5 500 Juta < Nominal <= 1 Miliar,7682,31031,5078592649869,0,,,
2024,11,10300026,097,A.1.6 1 Miliar < Nominal <= 2 Miliar,5622,28791,7430955326561,0,,,
2024,11,10300026,097,A.1.7 2 Miliar < Nominal <= 5 Miliar,4756,29226,14023582146222,0,,,
2024,11,10300026,097,A.1.8 Nominal > 5 Miliar,3162,40194,60519806685486,0,,,
2024,11,10300026,097,A.2 Nasabah Perorangan - UMKM,598,924,251188843347,0,,,
2024,11,10300026,097,A.2.1 0 <= Nominal <= 50 Juta,534,553,1801915268,0,,,
2024,11,10300026,097,A.2.2 50 Juta < Nominal <= 100 Juta,10,23,678751963,0,,,
2024,11,10300026,097,A.2.3 100 Juta < Nominal <= 200 Juta,4,8,656652124,0,,,
2024,11,10300026,097,A.2.4 200 Juta < Nominal <= 500 Juta,7,25,1843304371,0,,,
2024,11,10300026,097,A.2.5 500 Juta < Nominal <= 1 Miliar,11,44,7433836464,0,,,
2024,11,10300026,097,A.2.6 1 Miliar < Nominal <= 2 Miliar,16,54,20327318285,0,,,
2024,11,10300026,097,A.2.7 2 Miliar < Nominal <= 5 Miliar,5,23,13994673171,0,,,
2024,11,10300026,097,A.2.8 Nominal > 5 Miliar,11,194,204452391701,0,,,
2024,11,10300026,097,A.3 Nasabah Badan Hukum -“ Bank Lain,223,612,1877761126285,0,,,
2024,11,10300026,097,A.3.1 0 <= Nominal <= 50 Juta,17,17,297584042,0,,,
2024,11,10300026,097,A.3.2 50 Juta < Nominal <= 100 Juta,5,5,384682056,0,,,
2024,11,10300026,097,A.3.3 100 Juta < Nominal <= 200 Juta,3,3,485093742,0,,,
2024,11,10300026,097,A.3.4 200 Juta < Nominal <= 500 Juta,17,20,7880438670,0,,,
2024,11,10300026,097,A.3.5 500 Juta < Nominal <= 1 Miliar,32,41,29392674681,0,,,
2024,11,10300026,097,A.3.6 1 Miliar < Nominal <= 2 Miliar,60,117,103657530099,0,,,
2024,11,10300026,097,A.3.7 2 Miliar < Nominal <= 5 Miliar,44,147,142077770722,0,,,
2024,11,10300026,097,A.3.8 Nominal > 5 Miliar,45,262,1593585352273,0,,,
2024,11,10300026,097,A.4 Nasabah Badan Hukum -“ Non Bank -“ Non UMKM,5229,13782,34683004244354,0,,,
2024,11,10300026,097,A.4.1 0 <= Nominal <= 50 Juta,1905,2016,16853718730,0,,,
2024,11,10300026,097,A.4.2 50 Juta < Nominal <= 100 Juta,218,246,15478194689,0,,,
2024,11,10300026,097,A.4.3 100 Juta < Nominal <= 200 Juta,221,269,31017908471,0,,,
2024,11,10300026,097,A.4.4 200 Juta < Nominal <= 500 Juta,318,462,105388722567,0,,,
2024,11,10300026,097,A.4.5 500 Juta < Nominal <= 1 Miliar,369,617,282375652803,0,,,
2024,11,10300026,097,A.4.6 1 Miliar < Nominal <= 2 Miliar,483,1113,718677764150,0,,,
2024,11,10300026,097,A.4.7 2 Miliar < Nominal <= 5 Miliar,664,2152,2150107216151,0,,,
2024,11,10300026,097,A.4.8 Nominal > 5 Miliar,1051,6907,31363105066793,0,,,
2024,11,10300026,097,A.5 Nasabah Badan Hukum -“ Non Bank -“ UMKM,38,61,50508458225,0,,,
2024,11,10300026,097,A.5.1 0 <= Nominal <= 50 Juta,26,29,176652085,0,,,
2024,11,10300026,097,A.5.2 50 Juta < Nominal <= 100 Juta,1,1,87803895,0,,,
2024,11,10300026,097,A.5.3 100 Juta < Nominal <= 200 Juta,1,1,109222490,0,,,
2024,11,10300026,097,A.5.4 200 Juta < Nominal <= 500 Juta,1,1,500000000,0,,,
2024,11,10300026,097,A.5.5 500 Juta < Nominal <= 1 Miliar,2,3,1023299448,0,,,
2024,11,10300026,097,A.5.6 1 Miliar < Nominal <= 2 Miliar,1,2,1141198666,0,,,
2024,11,10300026,097,A.5.7 2 Miliar < Nominal <= 5 Miliar,3,12,10374340558,0,,,
2024,11,10300026,097,A.5.8 Nominal > 5 Miliar,3,12,37095941083,0,,,
2024,11,10300026,097,B. 3 Kategori 3,30420,166346,99777114774674,2884860445951,,,
2024,11,10300026,097,B.1 Kategori 1,72111,85096,4614950479871,3047701160967,,,
2024,11,10300026,097,B.1.1 Nominal <= Batasan Nilai Simpanan yang Dijamin,71791,84010,2407701160967,2407701160967,,,
2024,11,10300026,097,B.1.2 Nominal > Batasan Nilai Simpanan yang Dijamin,320,1086,2207249318904,640000000000,,,
2024,11,10300026,097,B.2 Kategori 2,3051,8245,22594130677298,0,,,
2024,11,10300026,097,B.2.1 Tingkat Bunga Simpanan > Tingkat Bunga Penjaminan,2622,7800,22589454086872,0,,,
2024,11,10300026,097,B.2.2 Kolektibilitas Kredit Macet / Hapus Buku,429,445,4676590426,0,,,
2024,11,10300026,097,B.2.3 Terindikasi melakukan atau diputuskan pengadilan melakukan tindakan perbuatan melanggar hukum yang membahayakan kelangsungan usaha bank atau merugikan bank (fraud),0,0,0,0,,,
2024,11,10300026,097,Grand Total A,105582,259687,126986195931843,0,4041495606651,3604114699194,FALSE
2024,12,10300026,097,A.1.1 0 <= Nominal <= 50 Juta,63353,71612,253575739778,0,,,
2024,12,10300026,097,A.1.6 1 Miliar < Nominal <= 2 Miliar,5466,27976,7223726819323,0,,,
2024,12,10300026,097,A.1.5 500 Juta < Nominal <= 1 Miliar,7799,31210,5211721073690,0,,,
2024,12,10300026,097,A.2.1 0 <= Nominal <= 50 Juta,518,539,1737556350,0,,,
2024,12,10300026,097,A.1.7 2 Miliar < Nominal <= 5 Miliar,4625,28184,13620147375577,0,,,
2024,12,10300026,097,A.1 Nasabah Perorangan -“ Non UMKM,99353,242517,90107336526512,0,,,
2024,12,10300026,097,A.1.3 100 Juta < Nominal <= 200 Juta,4965,13818,656810402345,0,,,
2024,12,10300026,097,Grand Total A,105474,258285,128173959054630,0,,,
2024,12,10300026,097,A.3.2 50 Juta < Nominal <= 100 Juta,5,5,342656974,0,,,
2024,12,10300026,097,A.4.2 50 Juta < Nominal <= 100 Juta,219,244,15784879164,0,,,
2024,12,10300026,097,A.2.5 500 Juta < Nominal <= 1 Miliar,17,61,11304441578,0,,,
2024,12,10300026,097,A.2.6 1 Miliar < Nominal <= 2 Miliar,14,46,17714575954,0,,,
2024,12,10300026,097,A.2 Nasabah Perorangan - UMKM,587,1001,314936740819,0,,,
2024,12,10300026,097,A.1.8 Nominal > 5 Miliar,3143,40055,60974992909264,0,,,
2024,12,10300026,097,A.1.4 200 Juta < Nominal <= 500 Juta,6133,22643,1912236908360,0,,,
2024,12,10300026,097,A.1.2 50 Juta < Nominal <= 100 Juta,3869,7019,254125298175,0,,,
2024,12,10300026,097,A.3.5 500 Juta < Nominal <= 1 Miliar,29,38,26021282303,0,,,
2024,12,10300026,097,B.1.1 Nominal <= Batasan Nilai Simpanan yang Dijamin,71074,82078,2300114699194,2300114699194,,,
2024,12,10300026,097,A.3.4 200 Juta < Nominal <= 500 Juta,18,21,7624372728,0,,,
2024,12,10300026,097,A.3.6 1 Miliar < Nominal <= 2 Miliar,60,118,107025019302,0,,,
2024,12,10300026,097,A.2.3 100 Juta < Nominal <= 200 Juta,7,12,969722860,0,,,
2024,12,10300026,097,A.2.8 Nominal > 5 Miliar,12,278,255773312735,0,,,
2024,12,10300026,097,A.2.4 200 Juta < Nominal <= 500 Juta,7,22,1721080886,0,,,
2024,12,10300026,097,A.2.2 50 Juta < Nominal <= 100 Juta,4,7,244288046,0,,,
2024,12,10300026,097,A.3.7 2 Miliar < Nominal <= 5 Miliar,41,109,128633809713,0,,,
2024,12,10300026,097,B.2.2 Kolektibilitas Kredit Macet / Hapus Buku,419,433,4387419906,0,,,
2024,12,10300026,097,A.4.4 200 Juta < Nominal <= 500 Juta,335,477,110419369377,0,,,
2024,12,10300026,097,A.4 Nasabah Badan Hukum -“ Non Bank -“ Non UMKM,5271,14103,35883316305749,0,,,
2024,12,10300026,097,A.2.7 2 Miliar < Nominal <= 5 Miliar,8,36,25471762410,0,,,
2024,12,10300026,097,A.3.3 100 Juta < Nominal <= 200 Juta,4,4,622323245,0,,,
2024,12,10300026,097,A.3.1 0 <= Nominal <= 50 Juta,18,18,269024437,0,,,
2024,12,10300026,097,A.4.3 100 Juta < Nominal <= 200 Juta,217,270,30027078239,0,,,
2024,12,10300026,097,A.5.2 50 Juta < Nominal <= 100 Juta,2,2,138960453,0,,,
2024,12,10300026,097,A.4.6 1 Miliar < Nominal <= 2 Miliar,454,1051,693254805102,0,,,
2024,12,10300026,097,A.5 Nasabah Badan Hukum -“ Non Bank -“ UMKM,38,57,70321940588,0,,,
2024,12,10300026,097,A.5.1 0 <= Nominal <= 50 Juta,26,29,190057095,0,,,
2024,12,10300026,097,A.3 Nasabah Badan Hukum -“ Bank Lain,225,607,1798047540962,0,,,
2024,12,10300026,097,A.4.7 2 Miliar < Nominal <= 5 Miliar,695,2224,2254089585460,0,,,
2024,12,10300026,097,A.4.1 0 <= Nominal <= 50 Juta,1895,2008,17062459725,0,,,
2024,12,10300026,097,A.4.5 500 Juta < Nominal <= 1 Miliar,357,609,271137523421,0,,,
2024,12,10300026,097,A.3.8 Nominal > 5 Miliar,50,294,1527509052260,0,,,
2024,12,10300026,097,A.5.4 200 Juta < Nominal <= 500 Juta,2,2,846889719,0,,,
2024,12,10300026,097,A.5.7 2 Miliar < Nominal <= 5 Miliar,2,6,4367296389,0,,,
2024,12,10300026,097,B.1.2 Nominal > Batasan Nilai Simpanan yang Dijamin,326,1037,2376559081479,652000000000,,,
2024,12,10300026,097,A.4.8 Nominal > 5 Miliar,1099,7220,32491540605261,0,,,
2024,12,10300026,097,B.1 Kategori 1,71400,83115,4676673780673,2952114699194,,,
2024,12,10300026,097,A.5.3 100 Juta < Nominal <= 200 Juta,1,1,141238298,0,,,
2024,12,10300026,097,A.5.6 1 Miliar < Nominal <= 2 Miliar,0,0,0,0,,,
2024,12,10300026,097,A.5.5 500 Juta < Nominal <= 1 Miliar,1,2,502886313,0,,,
2024,12,10300026,097,B.2 Kategori 2,3134,8416,22230037774427,0,,,
2024,12,10300026,097,B.2.3 Terindikasi melakukan atau diputuskan pengadilan melakukan tindakan perbuatan melanggar hukum yang membahayakan kelangsungan usaha bank atau merugikan bank (fraud),0,0,0,0,,,
2024,12,10300026,097,B. 3 Kategori 3,30940,166754,101267247499530,2699594170096,,,
2024,12,10300026,097,A.5.8 Nominal > 5 Miliar,4,15,64134612321,0,,,
2024,12,10300026,097,B.2.1 Tingkat Bunga Simpanan > Tingkat Bunga Penjaminan,2715,7983,22225650354521,0,,,
